id	author	title	date
Maupt_Vie	Maupassant	Une Vie	1883
Maupt_Pierre	Maupassant	Pierre et Jean	1888
Maupt_Fort	Maupassant	Fort comme la mort	1889
Maupt_Mont	Maupassant	Mont-Oriol	1887
Maupt_BelAmi	Maupassant	Bel-Ami	1885
Flaubert_Sallambo	Flaubert	Sallambo	1862
Flaubert_Education	Flaubert	Education sentimentale	1869
Flaubert_Bovary	Flaubert	Madame Bovary	1857
Flaubert_Bouvard	Flaubert	Bouvard et P̩cuchet	1881
Zola_Bete	Zola	Bete humaine	1890
Zola_Germinal	Zola	Germinal	1885
Zola_Nana	Zola	Nana	1880
Zola_Oeuvre	Zola	Oeuvre'	1886
Zola_Ventre	Zola	Ventre de Paris	1873
